page	n_rows	synthetic_rows	pitch	data_h	top_gap_pitch	bot_gap_pitch	top_overflow_px	bottom_overflow_px	smear_top_px	smear_bottom_px	ink_above	ink_below	rows_lost_bottom	rows_squeezed_top	flags
21	29	5	96.0	3319	1.156	0.979	-63.0	-46.0	0	299	14.678	0.0	0	1	SQUEEZED_1_TOP_ROW,BOTTOM_CUT,TOP_SQUEEZE,BOTTOM_SMEAR
22	29	12	90.0	3302	0.878	7.311	-34.0	-613.0	0	0	0.0	0.301	0	0	PARTIAL_BOTTOM_INK,BOTTOM_CUT,TOP_SQUEEZE
23	33	5	93.5	3312	1.294	1.722	-74.2	-114.2	0	0	0.402	0.0	0	1	SQUEEZED_1_TOP_ROW,BOTTOM_CUT,TOP_SQUEEZE
24	33	2	94.0	3298	1.447	0.66	-89.0	-15.0	0	0	346.556	1.556	0	1	PARTIAL_BOTTOM_INK,SQUEEZED_1_TOP_ROW,TOP_SQUEEZE
25	34	7	89.0	3170	0.831	1.933	-29.5	-127.5	0	0	1.482	0.749	0	0	PARTIAL_BOTTOM_INK,BOTTOM_CUT,TOP_SQUEEZE
26	30	10	91.0	3300	1.275	6.549	-70.5	-550.5	0	60	0.031	0.244	0	0	PARTIAL_BOTTOM_INK,BOTTOM_CUT,TOP_SQUEEZE,BOTTOM_SMEAR
27	28	4	108.0	3311	0.852	0.63	-38.0	-14.0	0	0	0.015	0.134	0	0	PARTIAL_BOTTOM_INK,TOP_SQUEEZE
28	31	4	92.0	3127	0.913	1.717	-38.0	-112.0	0	0	0.653	0.167	0	0	PARTIAL_BOTTOM_INK,BOTTOM_CUT,TOP_SQUEEZE
29	31	7	90.5	3008	0.652	2.066	-13.8	-141.8	0	0	0.366	0.119	0	0	PARTIAL_BOTTOM_INK,BOTTOM_CUT
30	35	9	93.0	3314	0.871	1.129	-34.5	-58.5	0	20	0.007	0.117	0	0	PARTIAL_BOTTOM_INK,BOTTOM_CUT,TOP_SQUEEZE,BOTTOM_SMEAR
31	35	13	93.0	3328	0.989	0.839	-45.5	-31.5	0	3	0.0	0.01	0	0	BOTTOM_CUT,TOP_SQUEEZE
32	29	13	88.0	3328	1.011	8.648	-45.0	-717.0	0	0	0.0	0.342	1	0	LOST_1_BOTTOM_ROW,BOTTOM_CUT,TOP_SQUEEZE
33	30	5	93.0	2960	0.72	1.215	-20.5	-66.5	0	0	2.929	0.801	1	0	LOST_1_BOTTOM_ROW,BOTTOM_CUT
34	27	3	93.5	2980	0.749	1.947	-23.2	-135.2	0	0	3.64	1.42	1	0	LOST_1_BOTTOM_ROW,BOTTOM_CUT
35	32	10	91.0	3294	1.165	3.67	-60.5	-288.5	0	0	0.03	0.113	0	0	PARTIAL_BOTTOM_INK,BOTTOM_CUT,TOP_SQUEEZE
36	32	4	93.0	3288	0.935	2.903	-40.5	-223.5	0	0	0.0	0.602	1	0	LOST_1_BOTTOM_ROW,BOTTOM_CUT,TOP_SQUEEZE
37	31	4	92.5	2977	0.681	1.903	-16.8	-129.8	0	0	1.418	0.844	1	0	LOST_1_BOTTOM_ROW,BOTTOM_CUT
38	23	1	94.0	2983	0.957	1.915	-43.0	-133.0	0	0	13.2	8.3	1	0	LOST_1_BOTTOM_ROW,BOTTOM_CUT,TOP_SQUEEZE
39	30	4	93.0	2978	0.699	1.882	-18.5	-128.5	1	299	0.438	1.026	1	0	LOST_1_BOTTOM_ROW,BOTTOM_CUT,BOTTOM_SMEAR
40	32	10	89.0	2976	1.618	1.011	-99.5	-45.5	0	0	2.557	0.0	0	1	SQUEEZED_1_TOP_ROW,BOTTOM_CUT,TOP_SQUEEZE
41	31	6	92.0	2986	0.88	1.804	-35.0	-120.0	0	0	0.589	0.0	0	0	BOTTOM_CUT,TOP_SQUEEZE
42	30	4	93.0	2983	0.624	2.032	-11.5	-142.5	0	0	0.094	0.217	0	0	PARTIAL_BOTTOM_INK,BOTTOM_CUT
43	31	6	90.0	3016	2.156	2.133	-149.0	-147.0	0	0	5.906	0.0	0	2	SQUEEZED_2_TOP_ROWS,BOTTOM_CUT,TOP_SQUEEZE
44	32	8	92.0	3193	2.924	2.109	-223.0	-148.0	0	0	12.443	0.0	0	2	SQUEEZED_2_TOP_ROWS,BOTTOM_CUT,TOP_SQUEEZE
45	31	6	90.5	2984	1.635	1.381	-102.8	-79.8	0	0	1.578	0.0	0	1	SQUEEZED_1_TOP_ROW,BOTTOM_CUT,TOP_SQUEEZE
46	34	7	92.0	3308	1.109	2.076	-56.0	-145.0	0	0	0.006	0.351	0	0	PARTIAL_BOTTOM_INK,BOTTOM_CUT,TOP_SQUEEZE
47	24	8	92.0	3082	1.913	8.63	-130.0	-748.0	0	0	2.178	0.0	0	1	SQUEEZED_1_TOP_ROW,BOTTOM_CUT,TOP_SQUEEZE
48	23	7	91.0	2988	0.835	9.538	-30.5	-822.5	0	0	0.359	0.771	1	0	LOST_1_BOTTOM_ROW,BOTTOM_CUT,TOP_SQUEEZE
49	28	5	93.0	3171	2.602	1.817	-195.5	-122.5	0	0	7.176	0.014	0	2	SQUEEZED_2_TOP_ROWS,BOTTOM_CUT,TOP_SQUEEZE
50	34	7	92.0	3285	1.13	1.087	-58.0	-54.0	0	25	0.008	0.964	1	0	LOST_1_BOTTOM_ROW,BOTTOM_CUT,TOP_SQUEEZE,BOTTOM_SMEAR
51	32	9	92.0	3280	1.163	2.978	-61.0	-228.0	0	0	0.012	0.262	0	0	PARTIAL_BOTTOM_INK,BOTTOM_CUT,TOP_SQUEEZE
52	29	4	93.0	3049	1.398	2.645	-83.5	-199.5	0	0	7.094	0.201	0	1	PARTIAL_BOTTOM_INK,SQUEEZED_1_TOP_ROW,BOTTOM_CUT,TOP_SQUEEZE
53	31	9	90.0	3262	1.033	4.089	-48.0	-323.0	0	0	0.0	2.578	2	0	LOST_2_BOTTOM_ROWS,BOTTOM_CUT,TOP_SQUEEZE
54	26	7	94.0	3271	0.989	9.457	-46.0	-842.0	0	0	0.0	0.075	0	0	BOTTOM_CUT,TOP_SQUEEZE
55	34	10	83.0	2924	1.337	2.193	-69.5	-140.5	0	299	2.18	0.084	0	1	SQUEEZED_1_TOP_ROW,BOTTOM_CUT,TOP_SQUEEZE,BOTTOM_SMEAR
56	30	5	93.0	2918	0.882	0.989	-35.5	-45.5	0	0	1.344	0.114	0	0	PARTIAL_BOTTOM_INK,BOTTOM_CUT,TOP_SQUEEZE
57	36	14	89.0	3290	1.067	1.955	-50.5	-129.5	0	0	0.25	0.099	0	0	BOTTOM_CUT,TOP_SQUEEZE
58	35	1	92.0	3285	1.022	0.663	-48.0	-15.0	0	0	0.011	0.024	0	0	TOP_SQUEEZE
59	30	3	93.0	3015	0.882	0.538	-35.5	-3.5	0	0	0.867	0.019	0	0	TOP_SQUEEZE
60	34	7	91.0	3315	1.352	1.758	-77.5	-114.5	0	0	0.037	0.016	0	0	BOTTOM_CUT,TOP_SQUEEZE
61	29	11	91.0	3258	0.934	7.374	-39.5	-625.5	0	0	0.0	0.376	0	0	PARTIAL_BOTTOM_INK,BOTTOM_CUT,TOP_SQUEEZE
62	35	2	91.0	3259	0.912	0.857	-37.5	-32.5	0	0	0.0	0.129	0	0	PARTIAL_BOTTOM_INK,BOTTOM_CUT,TOP_SQUEEZE
63	31	7	91.0	3087	0.912	2.396	-37.5	-172.5	0	0	0.0	0.114	0	0	PARTIAL_BOTTOM_INK,BOTTOM_CUT,TOP_SQUEEZE
64	28	9	92.0	3262	0.891	7.228	-36.0	-619.0	0	0	0.0	0.314	0	0	PARTIAL_BOTTOM_INK,BOTTOM_CUT,TOP_SQUEEZE
65	32	4	93.0	2966	0.71	0.925	-19.5	-39.5	0	0	1.179	0.0	0	0	BOTTOM_CUT
66	33	6	93.0	3231	0.86	1.903	-33.5	-130.5	0	0	0.0	0.245	0	0	PARTIAL_BOTTOM_INK,BOTTOM_CUT,TOP_SQUEEZE
67	35	11	89.0	3227	0.933	0.831	-38.5	-29.5	0	9	0.0	0.752	0	0	PARTIAL_BOTTOM_INK,BOTTOM_CUT,TOP_SQUEEZE,BOTTOM_SMEAR
68	33	3	92.0	3247	0.967	2.565	-43.0	-190.0	0	31	0.0	0.178	0	0	PARTIAL_BOTTOM_INK,BOTTOM_CUT,TOP_SQUEEZE,BOTTOM_SMEAR
69	22	8	82.0	2980	3.439	10.159	-241.0	-792.0	0	0	1.79	0.752	1	2	LOST_1_BOTTOM_ROW,SQUEEZED_2_TOP_ROWS,BOTTOM_CUT,TOP_SQUEEZE
70	33	2	92.0	3256	2.315	1.848	-167.0	-124.0	0	0	1.286	0.857	1	1	LOST_1_BOTTOM_ROW,SQUEEZED_1_TOP_ROW,BOTTOM_CUT,TOP_SQUEEZE
71	31	9	92.0	3256	0.989	4.652	-45.0	-382.0	0	299	0.005	2.24	2	0	LOST_2_BOTTOM_ROWS,BOTTOM_CUT,TOP_SQUEEZE,BOTTOM_SMEAR
72	27	8	92.5	3278	1.276	8.281	-71.8	-719.8	0	0	0.04	0.22	0	0	PARTIAL_BOTTOM_INK,BOTTOM_CUT,TOP_SQUEEZE
73	34	11	91.0	3276	0.945	2.648	-40.5	-195.5	0	0	0.0	0.047	0	0	BOTTOM_CUT,TOP_SQUEEZE
74	33	5	93.0	3289	1.097	2.032	-55.5	-142.5	0	0	0.024	0.089	0	0	BOTTOM_CUT,TOP_SQUEEZE
75	30	10	93.0	3311	1.301	6.151	-74.5	-525.5	0	0	0.078	0.073	0	0	BOTTOM_CUT,TOP_SQUEEZE
76	29	0	93.0	3275	1.215	1.903	-66.5	-130.5	0	0	0.146	0.732	1	0	LOST_1_BOTTOM_ROW,BOTTOM_CUT,TOP_SQUEEZE
77	34	5	92.0	3307	1.174	2.076	-62.0	-145.0	0	0	0.0	0.032	0	0	BOTTOM_CUT,TOP_SQUEEZE
78	30	14	89.0	2970	0.674	2.899	-15.5	-213.5	0	0	0.331	0.085	0	0	BOTTOM_CUT
79	28	3	97.0	3071	0.814	2.299	-30.5	-174.5	0	0	2.199	0.431	0	0	PARTIAL_BOTTOM_INK,BOTTOM_CUT,TOP_SQUEEZE
80	31	4	92.0	2956	0.641	1.772	-13.0	-117.0	0	0	0.462	0.053	0	0	BOTTOM_CUT
81	33	6	91.0	3055	0.956	1.802	-41.5	-118.5	0	0	1.592	0.047	0	0	BOTTOM_CUT,TOP_SQUEEZE
82	28	4	94.0	2965	1.723	1.809	-115.0	-123.0	0	0	12.492	0.338	1	1	LOST_1_BOTTOM_ROW,SQUEEZED_1_TOP_ROW,BOTTOM_CUT,TOP_SQUEEZE
83	30	8	92.0	2963	0.793	2.348	-27.0	-170.0	0	0	5.881	0.318	1	0	LOST_1_BOTTOM_ROW,BOTTOM_CUT,TOP_SQUEEZE
84	32	7	93.0	3070	0.882	1.785	-35.5	-119.5	0	0	2.522	0.069	0	0	BOTTOM_CUT,TOP_SQUEEZE
85	30	6	94.0	3151	2.862	1.798	-222.0	-122.0	0	0	9.643	0.058	0	2	SQUEEZED_2_TOP_ROWS,BOTTOM_CUT,TOP_SQUEEZE
86	30	4	92.0	3049	0.62	0.826	-11.0	-30.0	0	0	0.0	0.0	0	0	BOTTOM_CUT
87	35	12	90.0	3274	1.056	0.678	-50.0	-16.0	0	0	0.0	0.0	0	0	TOP_SQUEEZE
88	32	13	92.0	3286	1.293	2.098	-73.0	-147.0	0	0	0.219	0.16	0	0	PARTIAL_BOTTOM_INK,BOTTOM_CUT,TOP_SQUEEZE
89	30	4	92.0	3071	2.087	1.739	-146.0	-114.0	0	0	5.339	0.027	0	2	SQUEEZED_2_TOP_ROWS,BOTTOM_CUT,TOP_SQUEEZE
90	35	2	93.0	3256	0.86	0.688	-33.5	-17.5	0	0	0.0	3.111	0	0	PARTIAL_BOTTOM_INK,TOP_SQUEEZE
91	30	5	92.0	2979	1.913	1.75	-130.0	-115.0	0	0	3.817	0.0	0	1	SQUEEZED_1_TOP_ROW,BOTTOM_CUT,TOP_SQUEEZE
92	34	6	92.0	3268	1.011	1.826	-47.0	-122.0	0	0	0.568	0.0	0	1	SQUEEZED_1_TOP_ROW,BOTTOM_CUT,TOP_SQUEEZE
93	34	6	92.0	3274	1.054	1.772	-51.0	-117.0	0	0	0.55	0.0	0	1	SQUEEZED_1_TOP_ROW,BOTTOM_CUT,TOP_SQUEEZE
94	31	4	93.0	3125	1.882	1.312	-128.5	-75.5	0	0	4.359	0.0	0	1	SQUEEZED_1_TOP_ROW,BOTTOM_CUT,TOP_SQUEEZE
95	26	10	93.0	3202	0.806	8.656	-28.5	-758.5	0	0	0.0	0.493	1	0	LOST_1_BOTTOM_ROW,BOTTOM_CUT,TOP_SQUEEZE
96	27	4	92.5	2954	0.584	1.935	-7.8	-132.8	0	0	3.111	1.0	1	0	LOST_1_BOTTOM_ROW,BOTTOM_CUT
97	31	6	93.5	3075	0.856	1.497	-33.2	-93.2	0	0	2.864	0.153	0	0	PARTIAL_BOTTOM_INK,BOTTOM_CUT,TOP_SQUEEZE
98	29	4	93.0	2967	0.774	1.806	-25.5	-121.5	0	0	5.545	0.205	0	0	PARTIAL_BOTTOM_INK,BOTTOM_CUT,TOP_SQUEEZE
99	35	7	88.0	3270	1.307	1.398	-71.0	-79.0	0	40	0.024	0.597	1	0	LOST_1_BOTTOM_ROW,BOTTOM_CUT,TOP_SQUEEZE,BOTTOM_SMEAR
100	34	1	92.0	3165	0.185	1.37	29.0	-80.0	0	0	0.0	0.009	0	0	BOTTOM_CUT,TOP_CLIP,TOP_EXTRAP
101	35	11	89.5	3273	1.24	1.296	-66.2	-71.2	0	0	0.128	0.323	1	0	LOST_1_BOTTOM_ROW,BOTTOM_CUT,TOP_SQUEEZE
