page	line_id	kind	old_592509	new_592709
12	line_cell_r19_c1	agree_nonempty	"	"
12	line_cell_r19_c10	both_nonempty_differ	-	_
12	line_cell_r19_c11	agree_nonempty	-	-
12	line_cell_r19_c12	both_nonempty_differ	✓	١
12	line_cell_r19_c13	both_nonempty_differ	✓	_
12	line_cell_r19_c14	agree_nonempty	✓	✓
12	line_cell_r19_c15	both_nonempty_differ	..	٠
12	line_cell_r19_c16	both_nonempty_differ	١	"
12	line_cell_r19_c17	agree_nonempty	٥	٥
12	line_cell_r19_c18	agree_nonempty	..	..
12	line_cell_r19_c2	both_nonempty_differ	٤١٤٤	٤١٤
12	line_cell_r19_c3	agree_nonempty	٢٧	٢٧
12	line_cell_r19_c4	agree_nonempty	١٦	١٦
12	line_cell_r19_c5	both_nonempty_differ	-	٢
12	line_cell_r19_c6	both_nonempty_differ	"	١
12	line_cell_r19_c7	both_nonempty_differ	"	..
12	line_cell_r19_c8	agree_nonempty	✓	✓
12	line_cell_r19_c9	agree_nonempty	..	..
12	line_cell_r1_c0	agree_nonempty	٢	٢
12	line_cell_r1_c1	agree_nonempty	"	"
12	line_cell_r1_c10	agree_nonempty	-	-
12	line_cell_r1_c11	agree_nonempty	-	-
12	line_cell_r1_c12	both_nonempty_differ	٧	✓
12	line_cell_r1_c13	both_nonempty_differ	"	..
12	line_cell_r1_c14	agree_nonempty	٥	٥
12	line_cell_r1_c15	agree_nonempty	..	..
12	line_cell_r1_c16	both_nonempty_differ	_	..
12	line_cell_r1_c17	agree_nonempty	✓	✓
12	line_cell_r1_c18	agree_nonempty	..	..
12	line_cell_r1_c2	agree_nonempty	٤١٤٤	٤١٤٤
12	line_cell_r1_c3	agree_nonempty	٩	٩
12	line_cell_r1_c4	agree_nonempty	١٦	١٦
12	line_cell_r1_c5	both_nonempty_differ	٣,٤٠٨	٣,٠٨
12	line_cell_r1_c6	agree_nonempty	✓"	✓"
12	line_cell_r1_c7	agree_nonempty	"	"
12	line_cell_r1_c8	agree_nonempty	✓	✓
12	line_cell_r1_c9	agree_nonempty	..	..
12	line_cell_r20_c0	both_nonempty_differ	١	٢
12	line_cell_r20_c1	agree_nonempty	"	"
12	line_cell_r20_c10	agree_nonempty	-	-
12	line_cell_r20_c11	agree_nonempty	-	-
12	line_cell_r20_c12	both_nonempty_differ	"	✓
12	line_cell_r20_c13	both_nonempty_differ	_	..
12	line_cell_r20_c14	agree_nonempty	✓	✓
12	line_cell_r20_c15	both_nonempty_differ	ن	..
12	line_cell_r20_c16	agree_nonempty	"	"
12	line_cell_r20_c17	agree_nonempty	✓	✓
12	line_cell_r20_c18	both_nonempty_differ	..	٠
12	line_cell_r20_c2	agree_nonempty	"	"
12	line_cell_r20_c3	agree_nonempty	٣٢	٣٢
12	line_cell_r20_c4	agree_nonempty	١٦	١٦
12	line_cell_r20_c5	both_nonempty_differ	-	١٠
12	line_cell_r20_c6	both_nonempty_differ	"	✓"
12	line_cell_r20_c7	agree_nonempty	"	"
12	line_cell_r20_c8	agree_nonempty	✓	✓
12	line_cell_r20_c9	agree_nonempty	..	..
12	line_cell_r21_c0	both_nonempty_differ	٢	٢٢
12	line_cell_r21_c1	agree_nonempty	"	"
12	line_cell_r21_c10	agree_nonempty	-	-
12	line_cell_r21_c11	both_nonempty_differ	-	..
12	line_cell_r21_c12	agree_nonempty	١٦	١٦
12	line_cell_r21_c13	agree_nonempty	_	_
12	line_cell_r21_c14	agree_nonempty	✓	✓
12	line_cell_r21_c15	both_nonempty_differ	_	.
12	line_cell_r21_c16	both_nonempty_differ	٤	_
12	line_cell_r21_c17	both_nonempty_differ	١	✓
12	line_cell_r21_c18	both_nonempty_differ	_	٠
12	line_cell_r21_c2	agree_nonempty	"	"
12	line_cell_r21_c3	both_nonempty_differ	٩	٤
12	line_cell_r21_c4	both_nonempty_differ	١٤٤	١٤
12	line_cell_r21_c5	both_nonempty_differ	٣,٠٧٣	٣,٠٣
12	line_cell_r21_c6	both_nonempty_differ	✓"	"
12	line_cell_r21_c7	agree_nonempty	٣٥	٣٥
12	line_cell_r21_c8	agree_nonempty	✓	✓
12	line_cell_r21_c9	both_nonempty_differ	.	..
12	line_cell_r22_c0	both_nonempty_differ	٢	٢٣
12	line_cell_r22_c1	agree_nonempty	"	"
12	line_cell_r22_c10	agree_nonempty	-	-
12	line_cell_r22_c11	agree_nonempty	-	-
12	line_cell_r22_c12	agree_nonempty	✓	✓
12	line_cell_r22_c13	both_nonempty_differ	_	..
12	line_cell_r22_c14	agree_nonempty	٥	٥
12	line_cell_r22_c15	both_nonempty_differ	_	..
12	line_cell_r22_c16	both_nonempty_differ	٤	.
12	line_cell_r22_c17	agree_nonempty	✓	✓
12	line_cell_r22_c18	agree_nonempty	..	..
12	line_cell_r22_c2	agree_nonempty	"	"
12	line_cell_r22_c3	both_nonempty_differ	٠٧٠	٧٠
12	line_cell_r22_c4	agree_nonempty	١٤	١٤
12	line_cell_r22_c5	both_nonempty_differ	٥, ٧	٢,٥
12	line_cell_r22_c6	agree_nonempty	✓"	✓"
12	line_cell_r22_c7	agree_nonempty	٣٦	٣٦
12	line_cell_r22_c8	agree_nonempty	✓	✓
12	line_cell_r22_c9	agree_nonempty	..	..
12	line_cell_r23_c0	both_nonempty_differ	٢	٢٤
12	line_cell_r23_c1	agree_nonempty	"	"
12	line_cell_r23_c10	agree_nonempty	✓	✓
12	line_cell_r23_c11	agree_nonempty	٠٢٦	٠٢٦
12	line_cell_r23_c12	both_nonempty_differ	–	✓
12	line_cell_r23_c13	both_nonempty_differ	..	.
12	line_cell_r23_c14	both_nonempty_differ	١	١٦
12	line_cell_r23_c15	both_nonempty_differ	-	٠
12	line_cell_r23_c16	both_nonempty_differ	-	..
12	line_cell_r23_c17	both_nonempty_differ	"	✓
12	line_cell_r23_c18	both_nonempty_differ	٩	.
12	line_cell_r23_c2	both_nonempty_differ	٣٥	٤،٣٥
12	line_cell_r23_c3	agree_nonempty	٨	٨
12	line_cell_r23_c4	agree_nonempty	١٢	١٢
12	line_cell_r23_c5	both_nonempty_differ	٢،١٩٤	٢،٤
12	line_cell_r23_c6	both_nonempty_differ	"	✓"
12	line_cell_r23_c7	both_nonempty_differ	"	١
12	line_cell_r23_c8	agree_nonempty	✓	✓
12	line_cell_r23_c9	both_nonempty_differ	٠٣٦	٠٣٢
12	line_cell_r24_c0	both_nonempty_differ	٢	٢٥
12	line_cell_r24_c1	agree_nonempty	"	"
12	line_cell_r24_c10	agree_nonempty	✓	✓
12	line_cell_r24_c11	agree_nonempty	٠٣٥	٠٣٥
12	line_cell_r24_c12	both_nonempty_differ	–	١٦
12	line_cell_r24_c13	both_nonempty_differ	٤	..
12	line_cell_r24_c14	agree_nonempty	✓	✓
12	line_cell_r24_c15	both_nonempty_differ	..	.
12	line_cell_r24_c16	agree_nonempty	✓	✓
12	line_cell_r24_c17	agree_nonempty	✓	✓
12	line_cell_r24_c18	agree_nonempty	..	..
12	line_cell_r24_c2	agree_nonempty	٤١٥٠	٤١٥٠
12	line_cell_r24_c3	both_nonempty_differ	٥٢	٢٥٢
12	line_cell_r24_c4	agree_nonempty	١٣	١٣
12	line_cell_r24_c5	both_nonempty_differ	٤,١٧	٤١٣٧١
12	line_cell_r24_c6	agree_nonempty	"	"
12	line_cell_r24_c7	agree_nonempty	"	"
12	line_cell_r24_c8	agree_nonempty	✓	✓
12	line_cell_r24_c9	agree_nonempty	٠٤٠	٠٤٠
12	line_cell_r25_c0	agree_nonempty	٢	٢
12	line_cell_r25_c1	agree_nonempty	"	"
12	line_cell_r25_c10	agree_nonempty	✓	✓
12	line_cell_r25_c11	both_nonempty_differ	٠١١	٠١
12	line_cell_r25_c12	agree_nonempty	٥	٥
12	line_cell_r25_c13	agree_nonempty	_	_
12	line_cell_r25_c14	both_nonempty_differ	١٦	x
12	line_cell_r25_c15	both_nonempty_differ	٠	.
12	line_cell_r25_c16	both_nonempty_differ	_	..
12	line_cell_r25_c17	both_nonempty_differ	١٣	١
12	line_cell_r25_c18	agree_nonempty	٠	٠
12	line_cell_r25_c2	agree_nonempty	"	"
12	line_cell_r25_c3	agree_nonempty	٨١	٨١
12	line_cell_r25_c4	agree_nonempty	١٣	١٣
12	line_cell_r25_c5	both_nonempty_differ	١,٣٩١	٣,١٦
12	line_cell_r25_c6	agree_nonempty	"	"
12	line_cell_r25_c7	agree_nonempty	"	"
12	line_cell_r25_c8	agree_nonempty	✓	✓
12	line_cell_r25_c9	agree_nonempty	٠١٦	٠١٦
12	line_cell_r26_c0	both_nonempty_differ	٢	٢٧
12	line_cell_r26_c1	both_nonempty_differ	"	✓
12	line_cell_r26_c10	agree_nonempty	✓	✓
12	line_cell_r26_c11	agree_nonempty	٠١٥	٠١٥
12	line_cell_r26_c12	agree_nonempty	✓	✓
12	line_cell_r26_c13	both_nonempty_differ	-	..
12	line_cell_r26_c14	both_nonempty_differ	١٣	١
12	line_cell_r26_c15	both_nonempty_differ	..	_
12	line_cell_r26_c16	both_nonempty_differ	-	..
12	line_cell_r26_c17	both_nonempty_differ	١	-
12	line_cell_r26_c18	both_nonempty_differ	...	✓
12	line_cell_r26_c2	agree_nonempty	"	"
12	line_cell_r26_c3	agree_nonempty	٩٥	٩٥
12	line_cell_r26_c4	agree_nonempty	١٣	١٣
12	line_cell_r26_c5	both_nonempty_differ	٦	١
12	line_cell_r26_c6	agree_nonempty	"	"
12	line_cell_r26_c7	agree_nonempty	✓	✓
12	line_cell_r26_c8	agree_nonempty	✓	✓
12	line_cell_r26_c9	both_nonempty_differ	٠١٦	١٦
12	line_cell_r27_c0	both_nonempty_differ	٨	٢
12	line_cell_r27_c1	agree_nonempty	"	"
12	line_cell_r27_c10	agree_nonempty	✓	✓
12	line_cell_r27_c11	agree_nonempty	٠١٩	٠١٩
12	line_cell_r27_c12	agree_nonempty	✓	✓
12	line_cell_r27_c13	both_nonempty_differ	_	..
12	line_cell_r27_c14	agree_nonempty	✓	✓
12	line_cell_r27_c15	both_nonempty_differ	٣	"
12	line_cell_r27_c16	both_nonempty_differ	-	٤
12	line_cell_r27_c17	agree_nonempty	✓	✓
12	line_cell_r27_c18	agree_nonempty	..	..
12	line_cell_r27_c2	agree_nonempty	"	"
12	line_cell_r27_c3	both_nonempty_differ	٠	١
12	line_cell_r27_c4	agree_nonempty	١٣	١٣
12	line_cell_r27_c5	both_nonempty_differ	٢,١٢٩	٢,٩
12	line_cell_r27_c6	agree_nonempty	"	"
12	line_cell_r27_c7	agree_nonempty	"	"
12	line_cell_r27_c8	agree_nonempty	✓	✓
12	line_cell_r27_c9	agree_nonempty	٠٢٤	٠٢٤
12	line_cell_r28_c0	both_nonempty_differ	١	٢
12	line_cell_r28_c1	agree_nonempty	"	"
12	line_cell_r28_c10	agree_nonempty	✓	✓
12	line_cell_r28_c11	agree_nonempty	٠١٢	٠١٢
12	line_cell_r28_c12	agree_nonempty	✓	✓
12	line_cell_r28_c13	both_nonempty_differ	٠	_
12	line_cell_r28_c14	agree_nonempty	✓	✓
12	line_cell_r28_c15	agree_nonempty	..	..
12	line_cell_r28_c16	both_nonempty_differ	"	٤
12	line_cell_r28_c17	agree_nonempty	✓	✓
12	line_cell_r28_c18	both_nonempty_differ	٠	..
12	line_cell_r28_c2	agree_nonempty	"	"
12	line_cell_r28_c3	both_nonempty_differ	١١٠	١٠
12	line_cell_r28_c4	agree_nonempty	١٣	١٣
12	line_cell_r28_c5	both_nonempty_differ	١,٥٣٩	١٩
12	line_cell_r28_c6	both_nonempty_differ	✓"	✓
12	line_cell_r28_c7	agree_nonempty	"	"
12	line_cell_r28_c8	agree_nonempty	✓	✓
12	line_cell_r28_c9	agree_nonempty	٠١٦	٠١٦
12	line_cell_r29_c0	both_nonempty_differ	٣	٣٠
12	line_cell_r29_c1	agree_nonempty	"	"
12	line_cell_r29_c10	agree_nonempty	✓	✓
12	line_cell_r29_c11	agree_nonempty	٠١٣	٠١٣
12	line_cell_r29_c12	both_nonempty_differ	١٣	١
12	line_cell_r29_c13	agree_nonempty	"	"
12	line_cell_r29_c14	agree_nonempty	✓	✓
12	line_cell_r29_c15	both_nonempty_differ	ان	.
12	line_cell_r29_c16	both_nonempty_differ	٣	"
12	line_cell_r29_c17	both_nonempty_differ	٧	✓
12	line_cell_r29_c18	both_nonempty_differ	..	.
12	line_cell_r29_c2	agree_nonempty	"	"
12	line_cell_r29_c3	agree_nonempty	١٢٠	١٢٠
12	line_cell_r29_c4	agree_nonempty	١٣	١٣
12	line_cell_r29_c5	both_nonempty_differ	١،٥٦٣	١٥٣
12	line_cell_r29_c6	agree_nonempty	✓"	✓"
12	line_cell_r29_c7	both_nonempty_differ	✓	"
12	line_cell_r29_c8	agree_nonempty	✓	✓
12	line_cell_r29_c9	agree_nonempty	٠١٦	٠١٦
12	line_cell_r2_c0	agree_nonempty	٣	٣
12	line_cell_r2_c1	agree_nonempty	"	"
12	line_cell_r2_c10	agree_nonempty	✓	✓
12	line_cell_r2_c11	agree_nonempty	١٥٤	١٥٤
12	line_cell_r2_c12	both_nonempty_differ	✓	١٣
12	line_cell_r2_c13	both_nonempty_differ	_	..
12	line_cell_r2_c14	both_nonempty_differ	٧	✓
12	line_cell_r2_c15	both_nonempty_differ	_	..
12	line_cell_r2_c16	both_nonempty_differ	٠	..
12	line_cell_r2_c17	old_empty_new_nonempty		٤
12	line_cell_r2_c18	both_nonempty_differ	انظر ٩٧	انظ٩
12	line_cell_r2_c2	agree_nonempty	٤١٤٦	٤١٤٦
12	line_cell_r2_c3	agree_nonempty	١	١
12	line_cell_r2_c4	agree_nonempty	٦	٦
12	line_cell_r2_c5	both_nonempty_differ	٤,٤٠٢	٤٢
12	line_cell_r2_c6	agree_nonempty	"	"
12	line_cell_r2_c7	agree_nonempty	"	"
12	line_cell_r2_c8	agree_nonempty	✓	✓
12	line_cell_r2_c9	both_nonempty_differ	١٧٥	١٥
12	line_cell_r30_c0	agree_nonempty	٣١	٣١
12	line_cell_r30_c1	agree_nonempty	"	"
12	line_cell_r30_c10	agree_nonempty	✓	✓
12	line_cell_r30_c11	both_nonempty_differ	٠٢٢	٠٠٢
12	line_cell_r30_c12	agree_nonempty	✓	✓
12	line_cell_r30_c13	agree_nonempty	✓	✓
12	line_cell_r30_c14	agree_nonempty	✓	✓
12	line_cell_r30_c15	agree_nonempty	..	..
12	line_cell_r30_c16	both_nonempty_differ	"	_
12	line_cell_r30_c17	both_nonempty_differ	٣	١٣
12	line_cell_r30_c18	both_nonempty_differ	..	٠
12	line_cell_r30_c2	agree_nonempty	"	"
12	line_cell_r30_c3	agree_nonempty	١	١
12	line_cell_r30_c4	agree_nonempty	١٣	١٣
12	line_cell_r30_c5	both_nonempty_differ	"	١
12	line_cell_r30_c6	both_nonempty_differ	"	✓"
12	line_cell_r30_c7	both_nonempty_differ	"	١٣
12	line_cell_r30_c8	agree_nonempty	✓	✓
12	line_cell_r30_c9	agree_nonempty	٠٢٤	٠٢٤
12	line_cell_r31_c0	both_nonempty_differ	٧	٢
12	line_cell_r31_c1	agree_nonempty	"	"
12	line_cell_r31_c10	both_nonempty_differ	✓	✓..
12	line_cell_r31_c11	both_nonempty_differ	١١٤	٠٤
12	line_cell_r31_c12	agree_nonempty	١	١
12	line_cell_r31_c13	agree_nonempty	٠٥٩	٠٥٩
12	line_cell_r31_c14	both_nonempty_differ	–	١
12	line_cell_r31_c15	both_nonempty_differ	–	٠
12	line_cell_r31_c16	agree_nonempty	٤	٤
12	line_cell_r31_c17	both_nonempty_differ	–	-
12	line_cell_r31_c18	both_nonempty_differ	–	٠
12	line_cell_r31_c2	both_nonempty_differ	٤١٥١	٤١
12	line_cell_r31_c3	both_nonempty_differ	٢	.
12	line_cell_r31_c4	both_nonempty_differ	١٣	-
12	line_cell_r31_c5	both_nonempty_differ	-	–
12	line_cell_r31_c6	both_nonempty_differ	✓	✓"
12	line_cell_r31_c7	agree_nonempty	"	"
12	line_cell_r31_c8	agree_nonempty	✓	✓
12	line_cell_r31_c9	both_nonempty_differ	٦	١٦
12	line_cell_r32_c0	both_nonempty_differ	١	"
12	line_cell_r32_c1	agree_nonempty	٩٤٠	٩٤٠
12	line_cell_r32_c10	both_nonempty_differ	_	-
12	line_cell_r32_c11	both_nonempty_differ	٠٤٤	٠٠٩
12	line_cell_r32_c12	both_nonempty_differ	_	..
12	line_cell_r32_c13	both_nonempty_differ	٠٥٩	٠٥٦
12	line_cell_r32_c14	both_nonempty_differ	–	-
12	line_cell_r32_c15	agree_nonempty	٤	٤
12	line_cell_r32_c16	agree_nonempty	٤	٤
12	line_cell_r32_c17	both_nonempty_differ	–	-
12	line_cell_r32_c18	both_nonempty_differ	٠٥٩	٠٥
12	line_cell_r32_c2	agree_nonempty	١	١
12	line_cell_r32_c3	agree_nonempty	✓	✓
12	line_cell_r32_c4	agree_nonempty	"	"
12	line_cell_r32_c5	both_nonempty_differ	٣	"
12	line_cell_r32_c6	agree_nonempty	"	"
12	line_cell_r32_c7	agree_nonempty	"	"
12	line_cell_r32_c8	agree_nonempty	✓	✓
12	line_cell_r32_c9	agree_nonempty	"	"
12	line_cell_r33_c0	both_nonempty_differ	٢	٣
12	line_cell_r33_c1	both_nonempty_differ	٥	٠
12	line_cell_r33_c10	both_nonempty_differ	١	١٠
12	line_cell_r33_c11	both_nonempty_differ	٦	٠٠٠
12	line_cell_r33_c12	agree_nonempty	١	١
12	line_cell_r33_c13	both_nonempty_differ	٠٥٩	٠٥٦
12	line_cell_r33_c14	both_nonempty_differ	"	٠
12	line_cell_r33_c15	agree_nonempty	-	-
12	line_cell_r33_c16	both_nonempty_differ	٠	-
12	line_cell_r33_c17	both_nonempty_differ	١	١٠
12	line_cell_r33_c18	both_nonempty_differ	٠٥٩	٠٥
12	line_cell_r33_c2	both_nonempty_differ	٤	٢
12	line_cell_r33_c3	agree_nonempty	٢	٢
12	line_cell_r33_c4	old_empty_new_nonempty		✓
12	line_cell_r33_c5	both_nonempty_differ	٤	١
12	line_cell_r33_c6	agree_nonempty	✓	✓
12	line_cell_r33_c7	both_nonempty_differ	٤	٢
12	line_cell_r33_c8	both_nonempty_differ	٩	١
12	line_cell_r33_c9	agree_nonempty	٦٥٣	٦٥٣
12	line_cell_r3_c0	agree_nonempty	٤	٤
12	line_cell_r3_c1	agree_nonempty	"	"
12	line_cell_r3_c10	agree_nonempty	✓	✓
12	line_cell_r3_c11	both_nonempty_differ	١	٢
12	line_cell_r3_c12	both_nonempty_differ	✓	١
12	line_cell_r3_c13	both_nonempty_differ	_	..
12	line_cell_r3_c14	both_nonempty_differ	١٦	١
12	line_cell_r3_c15	both_nonempty_differ	✓	٠
12	line_cell_r3_c16	both_nonempty_differ	-	..
12	line_cell_r3_c17	both_nonempty_differ	✓	..
12	line_cell_r3_c18	agree_nonempty	٠	٠
12	line_cell_r3_c2	agree_nonempty	٤١٤٨	٤١٤٨
12	line_cell_r3_c3	both_nonempty_differ	٤٨	٠٤٨
12	line_cell_r3_c4	agree_nonempty	٦	٦
12	line_cell_r3_c5	both_nonempty_differ	٣,٣١٦	٣١٦
12	line_cell_r3_c6	both_nonempty_differ	✓"	"
12	line_cell_r3_c7	both_nonempty_differ	٤	١
12	line_cell_r3_c8	agree_nonempty	✓	✓
12	line_cell_r3_c9	both_nonempty_differ	١٤٠	١٠
12	line_cell_r4_c0	agree_nonempty	٥	٥
12	line_cell_r4_c1	agree_nonempty	"	"
12	line_cell_r4_c10	agree_nonempty	✓	✓
12	line_cell_r4_c11	both_nonempty_differ	٠٠٤	٠٠٠
12	line_cell_r4_c12	agree_nonempty	✓	✓
12	line_cell_r4_c13	both_nonempty_differ	_	..
12	line_cell_r4_c14	both_nonempty_differ	٣	١٣
12	line_cell_r4_c15	agree_nonempty	..	..
12	line_cell_r4_c16	both_nonempty_differ	٣	..
12	line_cell_r4_c17	agree_nonempty	١	١
12	line_cell_r4_c18	both_nonempty_differ	٠٠٠	٠
12	line_cell_r4_c2	agree_nonempty	٤١٥٢	٤١٥٢
12	line_cell_r4_c3	agree_nonempty	٤	٤
12	line_cell_r4_c4	agree_nonempty	٤	٤
12	line_cell_r4_c5	both_nonempty_differ	٠,٠٢٥	٠٠٢
12	line_cell_r4_c6	agree_nonempty	"	"
12	line_cell_r4_c7	agree_nonempty	"	"
12	line_cell_r4_c8	agree_nonempty	✓	✓
12	line_cell_r4_c9	agree_nonempty	"	"
12	line_cell_r5_c0	agree_nonempty	٦	٦
12	line_cell_r5_c1	agree_nonempty	"	"
12	line_cell_r5_c10	agree_nonempty	✓	✓
12	line_cell_r5_c11	agree_nonempty	٠٢٤	٠٢٤
12	line_cell_r5_c12	both_nonempty_differ	٣	-
12	line_cell_r5_c13	both_nonempty_differ	"	_
12	line_cell_r5_c14	agree_nonempty	✓	✓
12	line_cell_r5_c15	both_nonempty_differ	٦٠	٠
12	line_cell_r5_c16	agree_nonempty	٣	٣
12	line_cell_r5_c17	both_nonempty_differ	✓	١
12	line_cell_r5_c18	both_nonempty_differ	من تسل	٤
12	line_cell_r5_c2	both_nonempty_differ	"	٤
12	line_cell_r5_c3	agree_nonempty	٩٦	٩٦
12	line_cell_r5_c4	agree_nonempty	٤	٤
12	line_cell_r5_c5	both_nonempty_differ	٠١٥٠	٩٥٠
12	line_cell_r5_c6	both_nonempty_differ	"	✓
12	line_cell_r5_c7	both_nonempty_differ	"	..
12	line_cell_r5_c8	agree_nonempty	✓	✓
12	line_cell_r5_c9	both_nonempty_differ	٠٢٤	٠٠٢
12	line_cell_r6_c0	agree_nonempty	٧	٧
12	line_cell_r6_c1	agree_nonempty	"	"
12	line_cell_r6_c10	agree_nonempty	✓	✓
12	line_cell_r6_c11	agree_nonempty	٠٠٤	٠٠٤
12	line_cell_r6_c12	both_nonempty_differ	✓	.
12	line_cell_r6_c13	agree_nonempty	..	..
12	line_cell_r6_c14	both_nonempty_differ	–	-
12	line_cell_r6_c15	agree_nonempty	٠	٠
12	line_cell_r6_c16	both_nonempty_differ	_	..
12	line_cell_r6_c17	both_nonempty_differ	✓	١
12	line_cell_r6_c18	both_nonempty_differ	٩	٠
12	line_cell_r6_c2	agree_nonempty	"	"
12	line_cell_r6_c3	both_nonempty_differ	١٦١	٠١٦
12	line_cell_r6_c4	agree_nonempty	٤	٤
12	line_cell_r6_c5	both_nonempty_differ	٠٨٠٢٥	٠
12	line_cell_r6_c6	agree_nonempty	"	"
12	line_cell_r6_c7	both_nonempty_differ	_	..
12	line_cell_r6_c8	agree_nonempty	✓	✓
12	line_cell_r6_c9	both_nonempty_differ	٠٤٠	..
12	line_cell_r7_c0	agree_nonempty	٨	٨
12	line_cell_r7_c1	agree_nonempty	"	"
12	line_cell_r7_c10	agree_nonempty	✓	✓
12	line_cell_r7_c11	both_nonempty_differ	٥	١
12	line_cell_r7_c12	both_nonempty_differ	١	✓
12	line_cell_r7_c13	both_nonempty_differ	..	٠٠٠
12	line_cell_r7_c14	agree_nonempty	✓	✓
12	line_cell_r7_c15	both_nonempty_differ	٠٠	٠
12	line_cell_r7_c16	both_nonempty_differ	٣	..
12	line_cell_r7_c17	both_nonempty_differ	✓	.
12	line_cell_r7_c18	both_nonempty_differ	٠٠	٠
12	line_cell_r7_c2	agree_nonempty	٤١٣٢	٤١٣٢
12	line_cell_r7_c3	agree_nonempty	٦	٦
12	line_cell_r7_c4	agree_nonempty	١٠	١٠
12	line_cell_r7_c5	both_nonempty_differ	٦,٧٧٥	٢,٥٦
12	line_cell_r7_c6	agree_nonempty	"	"
12	line_cell_r7_c7	both_nonempty_differ	٣٧	37
12	line_cell_r7_c8	agree_nonempty	✓	✓
12	line_cell_r7_c9	both_nonempty_differ	١٢٦	١٢
12	line_cell_r8_c0	agree_nonempty	٩	٩
12	line_cell_r8_c1	agree_nonempty	"	"
12	line_cell_r8_c10	both_nonempty_differ	✓	..
12	line_cell_r8_c11	both_nonempty_differ	١	٢
12	line_cell_r8_c12	agree_nonempty	✓	✓
12	line_cell_r8_c13	both_nonempty_differ	_	٠
12	line_cell_r8_c14	both_nonempty_differ	٧	✓
12	line_cell_r8_c15	both_nonempty_differ	-	٠
12	line_cell_r8_c16	both_nonempty_differ	٣	"
12	line_cell_r8_c17	both_nonempty_differ	-	.
12	line_cell_r8_c18	both_nonempty_differ	نظر	٠
12	line_cell_r8_c2	agree_nonempty	٤١٣٥	٤١٣٥
12	line_cell_r8_c3	agree_nonempty	٩	٩
12	line_cell_r8_c4	agree_nonempty	١٠	١٠
12	line_cell_r8_c5	both_nonempty_differ	٧,١٦٨	٣,٨
12	line_cell_r8_c6	agree_nonempty	✓"	✓"
12	line_cell_r8_c7	agree_nonempty	"	"
12	line_cell_r8_c8	agree_nonempty	✓	✓
12	line_cell_r8_c9	both_nonempty_differ	١٤٤	١٤٠
12	line_cell_r9_c0	both_nonempty_differ	١	١٠
12	line_cell_r9_c1	agree_nonempty	"	"
12	line_cell_r9_c10	agree_nonempty	✓	✓
12	line_cell_r9_c11	both_nonempty_differ	٠	"
12	line_cell_r9_c12	agree_nonempty	✓	✓
12	line_cell_r9_c13	both_nonempty_differ	-	٤
12	line_cell_r9_c14	agree_nonempty	✓	✓
12	line_cell_r9_c15	both_nonempty_differ	_	..
12	line_cell_r9_c16	both_nonempty_differ	"	..
12	line_cell_r9_c17	agree_nonempty	١	١
12	line_cell_r9_c18	both_nonempty_differ	..	٠
12	line_cell_r9_c2	agree_nonempty	"	"
12	line_cell_r9_c3	agree_nonempty	٢٦	٢٦
12	line_cell_r9_c4	agree_nonempty	١٠	١٠
12	line_cell_r9_c5	both_nonempty_differ	١٠,٧١	١٠٨
12	line_cell_r9_c6	both_nonempty_differ	✓"	"
12	line_cell_r9_c7	agree_nonempty	"	"
12	line_cell_r9_c8	agree_nonempty	✓	✓
12	line_cell_r9_c9	both_nonempty_differ	١٩٨	١٨
12	line_taxpayer_index	both_nonempty_differ	ن	١
12	line_taxpayer_name	both_nonempty_differ	احمد حس ا	اس عيد
13	line_cell_r0_c0	both_nonempty_differ	"	✓
13	line_cell_r0_c1	both_nonempty_differ	٩٤/٩٤	٩٤٢ / ٤٧
13	line_cell_r0_c10	agree_nonempty	٥	٥
13	line_cell_r0_c11	both_nonempty_differ	٣	..
13	line_cell_r0_c12	agree_nonempty	"	"
13	line_cell_r0_c13	both_nonempty_differ	٦٣	٦٤
13	line_cell_r0_c14	agree_nonempty	✓	✓
13	line_cell_r0_c15	both_nonempty_differ	_	..
13	line_cell_r0_c16	both_nonempty_differ	١٠١	"
13	line_cell_r0_c17	both_nonempty_differ	٢١٥	٢١٠
13	line_cell_r0_c2	both_nonempty_differ	٤٢	٠
13	line_cell_r0_c3	both_nonempty_differ	٠٠	..
13	line_cell_r0_c4	agree_nonempty	"	"
13	line_cell_r0_c5	both_nonempty_differ	"	✓
13	line_cell_r0_c6	both_nonempty_differ	ع	تع✓
13	line_cell_r0_c7	both_nonempty_differ	"	١
13	line_cell_r0_c8	agree_nonempty	١	١
13	line_cell_r0_c9	agree_nonempty	٦٣	٦٣
13	line_cell_r10_c0	agree_nonempty	✓	✓
13	line_cell_r10_c1	both_nonempty_differ	"	٠
13	line_cell_r10_c10	both_nonempty_differ	"	١
13	line_cell_r10_c11	both_nonempty_differ	٣	..
13	line_cell_r10_c12	both_nonempty_differ	٧	✓
13	line_cell_r10_c13	both_nonempty_differ	٣	"
13	line_cell_r10_c14	both_nonempty_differ	١	"
13	line_cell_r10_c15	agree_nonempty	..	..
13	line_cell_r10_c16	both_nonempty_differ	٧	✓
13	line_cell_r10_c17	both_nonempty_differ	نظ	.
13	line_cell_r10_c2	agree_nonempty	✓	✓
13	line_cell_r10_c3	agree_nonempty	_	_
13	line_cell_r10_c4	both_nonempty_differ	"	..
